"product_key","product_name","category","subcategory","cost","lifespan","last_sale_date","recency","total_orders","total_customers","total_sales","total_quantity","avg_selling_price","product_segment","avg_order_revenue","avg_monthly_revenue"
281,All-Purpose Bike Stand,Accessories,Bike Stands,59,13,2014-01-28,152,249,243,39591,249,159.0,Mid Range,159,3045.4615384615384615
282,LL Mountain Tire,Accessories,Tires and Tubes,9,12,2014-01-28,152,860,828,21550,862,25.0,Mid Range,25,1795.8333333333333333
283,ML Mountain Tire,Accessories,Tires and Tubes,11,13,2014-01-28,152,1160,1160,34800,1160,30.0,Mid Range,30,2676.9230769230769231
284,HL Mountain Tire,Accessories,Tires and Tubes,13,13,2014-01-28,152,1395,1395,48860,1396,35.0,Mid Range,35,3758.4615384615384615
285,LL Road Tire,Accessories,Tires and Tubes,8,13,2014-01-28,152,1043,1029,21903,1043,21.0,Mid Range,21,1684.8461538461538462
286,ML Road Tire,Accessories,Tires and Tubes,9,13,2014-01-28,152,925,890,23125,925,25.0,Mid Range,25,1778.8461538461538462
287,HL Road Tire,Accessories,Tires and Tubes,12,13,2014-01-28,152,858,820,28314,858,33.0,Mid Range,33,2178.0000000000000000
288,Touring Tire,Accessories,Tires and Tubes,11,13,2014-01-25,152,935,920,27115,935,29.0,Mid Range,29,2085.7692307692307692
289,Mountain Tire Tube,Accessories,Tires and Tubes,2,13,2014-01-28,152,3092,2958,15465,3093,5.0,Mid Range,5,1189.6153846153846154
290,Road Tire Tube,Accessories,Tires and Tubes,1,13,2014-01-28,152,2375,2225,9500,2375,4.0,Low Performer,4,730.7692307692307692
291,Touring Tire Tube,Accessories,Tires and Tubes,2,13,2014-01-28,152,1487,1410,7435,1487,5.0,Low Performer,5,571.9230769230769231
292,Classic Vest- L,Clothing,Vests,24,12,2014-01-28,152,195,195,12480,195,64.0,Mid Range,64,1040.0000000000000000
293,Classic Vest- M,Clothing,Vests,24,12,2014-01-27,152,199,199,12736,199,64.0,Mid Range,64,1061.3333333333333333
294,Classic Vest- S,Clothing,Vests,24,13,2014-01-28,152,168,168,10944,171,64.0,Mid Range,65,841.8461538461538462
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,13,2014-01-28,152,4244,4073,21245,4249,5.0,Mid Range,5,1634.2307692307692308
